KEY ID	S.Chinese
QCStaAWasWithB_ANY_QCCrewNoOne	{0} 刚刚没有和任何人一起
QCStaAWasWithB_QCCrewNoOne_QCCrewMe	刚刚没有人和我一起
QCStaAWasWithB_QCCrewNoOne_ANY	刚刚没有人和 {1} 一起
QCStaAWasWithB_QCCrewNoOne_QCCrewNoOne	刚刚没有人和任何人一起
QCStaADidB_QCCrewMe_ANY	我做了{1}
QCStaADidB	{0} 做了{1}
QCStaADidB_QCCrewNoOne_ANY	没人做了{1}
QCStaASelfReported_QCCrewMe	我恶人先告状了
QCStaASelfReported	{0} 恶人先告状了
QCStaASelfReported_QCCrewNoOne	没有人恶人先告状
QCStaACalledMeeting_QCCrewMe	我召开了会议
QCStaACalledMeeting	{0} 召开了会议
QCStaACalledMeeting_QCCrewNoOne	没有人召开会议
QCMore	更多
SecurityLogsSystem	保安日志
SecurityCamsSystem	保安摄像头
AdminMapSystem	管理室地图
VitalsSystem	生命监测器
EngagementScreenSignIn	正在登录...
SaveGameOutOfSpaceConfirm	继续
EngagementScreen	按任意键开始。
SaveGameOutOfSpaceMessage	您要在不保存的情况下继续吗？
SaveGameOutOfSpaceConfirm	继续
SaveGameOutOfSpaceCancel	重试
Success	成功！
Failed	失败！
ErrorCreate	创建账号时发生问题，请稍后再试。
SuccessCreate	您已成功创建账号！
Close	关闭
ErrorLogIn	登录账号时发生问题，请稍后再试。
SuccessLogIn	您已成功登录账号！
AccountInfo	账号信息
Account	账号
UserName	用户名称
Height	身高
Weight	体重
SignIn	登录
CreateAccount	创建账号
RequestPermission	请求许可
RandomizeName	随机命名
AccountLinking	账号链接
ChangeName	更改名称
LogOut	登出
GuardianWait	您必须等候监护人给予许可才能使用自由聊天和更改用户名称。
EmailEdit	编辑电子邮件
EmailResend	重新发送电子邮件
GuestContinue	以游客身份继续
GuardianEmailSent	已向监护人发送电子邮件
GuardianCheckEmail	别忘了请您的监护人检查电子邮件，以解锁所有游戏功能。
EditName	编辑名称
Name	名称
CreateAccountQuestion	创建账号？
DoYouWantCreate	您要创建账号吗？
PermissionRequired	需要许可
NeedPermissionText	我们需要以电子邮件征求您监护人的许可才能继续。如果监护人同意，您便可以在线使用自由聊天和更改用户名称。请寻求成年人协助您取得许可吧！
GuardianEmailTitle	监护人的电子邮件
Send	发送
NewEmail	新电邮地址
ConfirmEmail	确认电邮地址
EditEmail	编辑电邮地址
Loading	加载中
Welcome	欢迎
GuardianEmail	[您监护人的电子邮件]
	
BanButton	封禁
KickButton	踢出
ReportButton	报告
ReportConfirmation	您已成功举报下列用户。
ReportBadName	不当名称
ReportBadChat	不当聊天
ReportHacking	作弊 / 黑客
ReportHarassment	骚扰 / 不当行为
ReportWhy	请问您举报这位用户的原因是？
DLLNotFoundAccountError	您在连接到线上服务时发生了问题。在修复此问题之前，您只能游玩本地或自由模式。请稍后再试。
ContinueOffline	离线游戏
WantToLogIn	您当前尚未登录账号。
GoOffline	离线
PlayAsGuest	以游客身份游玩
LogInTitle	登录您的账号
LogInInfoText	- 游客账号可以让您不链接账号即可在线游玩，但更换设备或卸载《Among Us》后将无法取回数据。\n- 如果您登录完整账号，往后便可再次登录。如果您尚未拥有账号，将会自动为您创建账号。
LogInInfoTextSwitch	如果您登录完整账号，往后便可再次登录。如果您尚未拥有账号，将会自动为您创建账号。
ControllerDisconnectedMessage	控制器连接中断
FollowUs	跟随我们！
	
QuickChatInstructionsStart	您游戏内聊天设置为“仅限快速聊天”。
QuickChatInstructionsChild	您需要先取得家长或监护人的同意才可使用完整聊天功能。
QuickChatInstructionsGuest	您需要登录才可更改此项目。
QuickChatInstructionsFull	您可在“设置”菜单中更改。
	
SwitchEShopBrowseAll	查看 Nintendo eShop 的所有商品
	
Download	下载
Upload	上传
pk05_davehat	Dave 的帽子
pk05_Ellie	Ellie
pk05_Svenhat	Sven 的帽子
pk05_Burthat	Burt 的帽子
pk05_Ellryhat	Ellry 的朋克头
pk05_monocles	双片眼镜
pk05_cheesetoppat	芝士高帽
pk05_Macbethhat	Mr. Macbeth 的高帽
pk05_HenryToppat	Henry 的高帽
pk05_EllieToppat	Ellie 的高帽
pk05_GeoffreyToppat	Geoffrey 的高帽
	
	
InsufficientStorageError	存储空间不足，无法下载资源包。请在设备上挪出空间后再试一次。
NetworkError	发生网络错误。请检查连接设置后再试一次。
OtherDownloadError	发生错误：{0}
DownloadingLabel	正在下载 {0}
DownloadSizeLabel	下载大小：{0}MB
	
TimeRemaining	剩余时间：{0}
DeadLabel	死亡
	
InviteFriends	邀请朋友
	
NutriLabel	营养
CO2Label	CO2
RADLabel	辐射
WaterLabel	水
	
DoorlogLabel	通行纪录
VitalsLabel	生命
OptionsLabel	自定义
ProceedLabel	继续
StartLabel	开始
UseLabel	使用
PlayAgain	再次游玩
QuitLabel	退出
ReportLabel	报告
SabotageLabel	破坏
VentLabel	通风口
KillLabel	击杀
DiscussLabel	讨论！
SkippedVoting	已跳过投票
SkipVoteLabel	跳过投票
EmergencyMeeting	紧急会议
BodyReported	通报发现尸体
SkinLabel	皮肤
HatLabel	帽子
PetLabel	宠物
AnnouncementLabel	公告
	
UploadingLabel	上传中
ConnectionLabel	连接：
NoneLabel	无
PoorLabel	微弱
GoodLabel	良好
LogLabel	记录档
ReadingLabel	数值
WeatherDataDownload	下载气候数据
AirshipBundle	Airship 捆绑包
PolusBundle	Polus 捆绑包
PolusSkinBundle	Polus 地图皮肤捆绑包
MiraBundle	MIRA HQ 捆绑包
MiraSkinBundle	MIRA HQ 皮肤捆绑包
PetAlien2	压床蟹宠物捆绑包
PetAlien1	脑动虫宠物捆绑包
PetAnimal	仓鼠球宠物捆绑包
PetCrewmate	迷你船员捆绑包
PetStickmin	Stickmin 宠物捆绑包
PrisonerSkin	囚犯
Cyborg_RHM	得力助手重生
CCC_Officer	混乱收容中心主任
BeginLabel	开始
QuietLabel	嘘！
VentCleaning	清理通风口
CleanUp	清理
ProgressLabel	进度：
TermsOfUseTitle	使用条款
PPAndToUTitle	隐私条款与使用条款
	
ErrorNotAuthenticated	《Among Us》服务器无法验证您的身分。\r\n\n您必须拥有《Among Us》账号才能在线游玩 (游客账号也可以！)。
ComePlayDiscord	来和我一起玩《Among Us》吧！ 
ShowAccountSupportID5	显示账号支持识别码
ShowAccountSupportID4	再按 4 次来显示
ShowAccountSupportID3	请不要分享这个识别码
ShowAccountSupportID2	直播时请不要点击
ShowAccountSupportID1	确认要查看这组识别码
SupportIDLabel	支持识别码： {0}
YouAreNotOnline	您不在线上。
NoDeadBodiesFound	未发现尸体
SupportEmail	若有任何支持相关问题，请联络 support@innersloth.com。
PerfectLabel	完美
